kodi_institucioni,emertimi,real_nipt,nipt_source
INST-0293,Drejtoria Rajonale e Tatimeve Gjirokaster,,unknown - not seen in KPP
INST-0294,Drejtoria Rajonale e Tatimeve Korce,,unknown - not seen in KPP
INST-0295,Drejtoria Rajonale e Tatimeve Kukes,,unknown - not seen in KPP
INST-0296,Drejtoria Rajonale e Trashegimise Kulturore Gjirokaster,,unknown - not seen in KPP
INST-0297,Drejtoria Rajonale e Trashegimise Kulturore Korçe,,unknown - not seen in KPP
INST-0298,Drejtoria Rajonale e Trashegimise Kulturore Shkoder,,unknown - not seen in KPP
INST-0299,Drejtoria Rajonale e Trashegimise Kulturore Tirane,,unknown - not seen in KPP
INST-0300,Drejtoria Rajonale e Trashegimise Kulturore Vlore,,unknown - not seen in KPP
INST-0301,Drejtoria SHISH Fier,,unknown - not seen in KPP
INST-0302,Drejtoria Vendore ASHK-se Tirana Jug,,unknown - not seen in KPP
INST-0303,Drejtoria Vendore ASHK-se Tirana Veri,,unknown - not seen in KPP
INST-0304,Drejtoria Vendore Zonat e Stimuluara,,unknown - not seen in KPP
INST-0305,Drejtoria Vendore e ASHK-se Elbasan,,unknown - not seen in KPP
INST-0306,Drejtoria Vendore e ASHK-se Fier,,unknown - not seen in KPP
INST-0307,Drejtoria Vendore e ASHK-se Lezhe,,unknown - not seen in KPP
INST-0308,Drejtoria Vendore e ASHK-se Lushnje,,unknown - not seen in KPP
INST-0309,Drejtoria Vendore e ASHK-se Shkoder,,unknown - not seen in KPP
INST-0310,Drejtoria Vendore e ASHK-se Tirane Rurale 1,,unknown - not seen in KPP
INST-0311,Drejtoria Vendore e ASHK-se Tirane Rurale 2,,unknown - not seen in KPP
INST-0312,Drejtoria Vendore e ASHK-se Vlore,,unknown - not seen in KPP
INST-0313,Drejtoria e Administrimit te Paketave Shendetesore dhe Ekzaminimeve Terciale,,unknown - not seen in KPP
INST-0314,Drejtoria e Antiterrorit,,unknown - not seen in KPP
INST-0315,Drejtoria e Arkivit Qendror te Sigurimeve Shoqerore,L31708452O,kpp_appeal.ak_nipt (name-matched)
INST-0316,Drejtoria e Artit dhe Kultures Fier,,unknown - not seen in KPP
INST-0317,Drejtoria e Bujqesise Administrimit te Pyjeve Ujrave e Sherbimit Veterinar Berat,,unknown - not seen in KPP
INST-0318,Drejtoria e Forces se Posaçme Operacionale,,unknown - not seen in KPP
INST-0319,Drejtoria e Konvikteve te Shkollave te Mesme,K51810003A,kpp_appeal.ak_nipt (name-matched)
INST-0320,Drejtoria e Ndihmes Juridike Falas,,unknown - not seen in KPP
INST-0321,Drejtoria e Pergjithshme Detare,L01921751A,kpp_appeal.ak_nipt (name-matched)
INST-0322,Drejtoria e Pergjithshme e Agjencise Shteterore e Kadastres,,unknown - not seen in KPP
INST-0323,Drejtoria e Pergjithshme e Akreditimit,,unknown - not seen in KPP
INST-0324,Drejtoria e Pergjithshme e Antikorrupsionit,,unknown - not seen in KPP
INST-0325,Drejtoria e Pergjithshme e Arkivave te Shtetit,,unknown - not seen in KPP
INST-0326,Drejtoria e Pergjithshme e Burgjeve,K51713051I,kpp_appeal.ak_nipt (name-matched)
INST-0327,Drejtoria e Pergjithshme e Doganave,J72122006U,kpp_appeal.ak_nipt (name-matched)
INST-0328,Drejtoria e Pergjithshme e Kopshtit Zoologjik,M41304451A,kpp_appeal.ak_nipt (name-matched)
INST-0329,Drejtoria e Pergjithshme e Metrologjise dhe Kalibrimit,,unknown - not seen in KPP
INST-0330,Drejtoria e Pergjithshme e Mirembajtjes se Objekteve Publike,,unknown - not seen in KPP
INST-0331,Drejtoria e Pergjithshme e Objekteve Publike Tirane,,unknown - not seen in KPP
INST-0332,Drejtoria e Pergjithshme e Pastrimit dhe Gjelberimit Tirane,,unknown - not seen in KPP
INST-0333,Drejtoria e Pergjithshme e Permbarimit,,unknown - not seen in KPP
INST-0334,Drejtoria e Pergjithshme e Policise se Shtetit,K12217003P,kpp_appeal.ak_nipt (name-matched)
INST-0335,Drejtoria e Pergjithshme e Pronesise Industriale,K51726018J,kpp_appeal.ak_nipt (name-matched)
INST-0336,Drejtoria e Pergjithshme e RTSH,J61904073W,kpp_appeal.ak_nipt (name-matched)
INST-0337,Drejtoria e Pergjithshme e Rrugeve dhe Ndriçimit Publik Tirane,K51725013K,kpp_appeal.ak_nipt (name-matched)
INST-0338,Drejtoria e Pergjithshme e Sherbimeve te Transportit Rrugor Tirane,J61904010C,kpp_appeal.ak_nipt (name-matched)
INST-0339,Drejtoria e Pergjithshme e Standartizimeve,,unknown - not seen in KPP
INST-0340,Drejtoria e Pergjithshme e Taksave dhe e Tarifave Vendore Tirane,,unknown - not seen in KPP
INST-0341,Drejtoria e Pergjithshme e Tatimeve,J61929017W,kpp_appeal.ak_nipt (name-matched)
INST-0342,Drejtoria e Pergjithshme e Çerdheve dhe Kopshteve Tirane,K51716047S,kpp_appeal.ak_nipt (name-matched)
INST-0343,Drejtoria e Pergjithshme per Kufirin dhe Migracionin,,unknown - not seen in KPP
INST-0344,Drejtoria e Policise Qarkut Korce,,unknown - not seen in KPP
INST-0345,Drejtoria e Policise Qarkut Lezhe,,unknown - not seen in KPP
INST-0346,Drejtoria e Policise Qarkut Tirane,J81620005Q,kpp_appeal.ak_nipt (name-matched)
INST-0347,Drejtoria e Përgjithshme e Arsimit Parauniversitar Bashkia Elbasan,,unknown - not seen in KPP
INST-0348,Drejtoria e Përgjithshme e Kulturës dhe Sportit,,unknown - not seen in KPP
INST-0349,Drejtoria e Rajonit Jugor Gjirokaster,,unknown - not seen in KPP
INST-0350,Drejtoria e Rajonit Qender Perendim (Tirane),,unknown - not seen in KPP
INST-0351,Drejtoria e SHISH Kukes,,unknown - not seen in KPP
INST-0352,Drejtoria e SHISH Shkoder,,unknown - not seen in KPP
INST-0353,Drejtoria e Shendetit Publik Bulqize,,unknown - not seen in KPP
INST-0354,Drejtoria e Shendetit Publik Delvine,,unknown - not seen in KPP
INST-0355,Drejtoria e Shendetit Publik Diber,K46908708P,kpp_appeal.ak_nipt (name-matched)
INST-0356,Drejtoria e Shendetit Publik Gjirokaster,,unknown - not seen in KPP
INST-0357,Drejtoria e Shendetit Publik Kolonje,,unknown - not seen in KPP
INST-0358,Drejtoria e Shendetit Publik Kruje,,unknown - not seen in KPP
INST-0359,Drejtoria e Shendetit Publik Mirdite,,unknown - not seen in KPP
INST-0360,Drejtoria e Shendetit Publik Pogradec,,unknown - not seen in KPP
INST-0361,Drejtoria e Shendetit Publik Sarande,,unknown - not seen in KPP
INST-0362,Drejtoria e Shendetit Publik Skrapar,,unknown - not seen in KPP
INST-0363,Drejtoria e Shendetit Publik Vlore,,unknown - not seen in KPP
INST-0364,Drejtoria e Sherbimeve Qeveritare,J61828071I,kpp_appeal.ak_nipt (name-matched)
INST-0365,Drejtoria e Sherbimeve te Peshkimit dhe Akuakultures Tirane,,unknown - not seen in KPP
INST-0366,Drejtoria e Sherbimit Memaliaj,M08803571H,kpp_appeal.ak_nipt (name-matched)
INST-0367,Drejtoria e Sherbimit Spitalor Bulqize,,unknown - not seen in KPP
INST-0368,Drejtoria e Sherbimit Spitalor Delvine,,unknown - not seen in KPP
INST-0369,Drejtoria e Sherbimit Spitalor Devoll,,unknown - not seen in KPP
INST-0370,Drejtoria e Sherbimit Spitalor Gramsh,K96915891W,kpp_appeal.ak_nipt (name-matched)
INST-0371,Drejtoria e Sherbimit Spitalor Has,K77925217F,kpp_appeal.ak_nipt (name-matched)
INST-0372,Drejtoria e Sherbimit Spitalor Kolonje,,unknown - not seen in KPP
INST-0373,Drejtoria e Sherbimit Spitalor Korce,K54105081A,kpp_appeal.ak_nipt (name-matched)
INST-0374,Drejtoria e Sherbimit Spitalor Kruje,K94223391H,kpp_appeal.ak_nipt (name-matched)
INST-0375,Drejtoria e Sherbimit Spitalor Kukes,K57829223S,kpp_appeal.ak_nipt (name-matched)
INST-0376,Drejtoria e Sherbimit Spitalor Kurbin,K97816391T,kpp_appeal.ak_nipt (name-matched)
INST-0377,Drejtoria e Sherbimit Spitalor Librazhd,K97922691B,kpp_appeal.ak_nipt (name-matched)
INST-0378,Drejtoria e Sherbimit Spitalor Malesi e Madhe,,unknown - not seen in KPP
INST-0379,Drejtoria e Sherbimit Spitalor Mallakaster,,unknown - not seen in KPP
INST-0380,Drejtoria e Sherbimit Spitalor Mat,K97702991F,kpp_appeal.ak_nipt (name-matched)
INST-0381,Drejtoria e Sherbimit Spitalor Mirdite,,unknown - not seen in KPP
INST-0382,Drejtoria e Sherbimit Spitalor Peqin,,unknown - not seen in KPP
INST-0383,Drejtoria e Sherbimit Spitalor Permet,,unknown - not seen in KPP
INST-0384,Drejtoria e Sherbimit Spitalor Pogradec,K93930791Q,kpp_appeal.ak_nipt (name-matched)
INST-0385,Drejtoria e Sherbimit Spitalor Puke,,unknown - not seen in KPP
INST-0386,Drejtoria e Sherbimit Spitalor Skrapar,,unknown - not seen in KPP
INST-0387,Drejtoria e Sherbimit Spitalor Tepelene,,unknown - not seen in KPP
INST-0388,Drejtoria e Sherbimit Spitalor Tropoje,,unknown - not seen in KPP
INST-0389,Drejtoria e Sherbimit te Mbrojtjes nga Zjarri dhe Shpetimit Shkoder,,unknown - not seen in KPP
INST-0390,Drejtoria e Spitalit Rajonal Diber,K46908707H,kpp_appeal.ak_nipt (name-matched)
INST-0391,Drejtoria e Spitalit Rajonal Durres,K42311504G,kpp_appeal.ak_nipt (name-matched)
INST-0392,Drejtoria e Spitalit Rajonal Gjirokaster,K43025616G,kpp_appeal.ak_nipt (name-matched)
INST-0393,Drejtoria e Spitalit Rajonal Lezhe,K57829534F,kpp_appeal.ak_nipt (name-matched)
INST-0394,Drejtoria e Spitalit Rajonal Shkoder,K56704021V,kpp_appeal.ak_nipt (name-matched)
INST-0395,Drejtoria e Spitalit Rajonal Vlore,K56703226W,kpp_appeal.ak_nipt (name-matched)
INST-0396,Drejtoria e Spitalit “Ihsan Çabej” Lushnje,K54029415J,kpp_appeal.ak_nipt (name-matched)
INST-0397,Drejtoria e Targave dhe Shtypshkrimeve Durres,,unknown - not seen in KPP
INST-0398,Drejtoria e Tensionit te Larte OSSH sh.a,,unknown - not seen in KPP
INST-0399,Drejtoria e Ujitjes dhe Kullimit Durres,K42316502P,kpp_appeal.ak_nipt (name-matched)
INST-0400,Drejtoria e Ujitjes dhe Kullimit Fier,K53001402U,kpp_appeal.ak_nipt (name-matched)
INST-0401,Drejtoria e Ujitjes dhe Kullimit Korce,J64104001I,kpp_appeal.ak_nipt (name-matched)
INST-0402,Drejtoria e Ujitjes dhe Kullimit Lezhe,K68315510P,kpp_appeal.ak_nipt (name-matched)
INST-0403,Drejtoria e Verifikimit dhe Koordinimit ne Terren Rajoni Jugor,,unknown - not seen in KPP
INST-0404,ECO Tirana,L61908027S,kpp_appeal.ak_nipt (name-matched)
INST-0405,ECO-ELB sh.a,,unknown - not seen in KPP
INST-0406,Enti Kombetar i Banesave Tirane,J61817049T,kpp_appeal.ak_nipt (name-matched)
INST-0407,Enti Rregullator i Energjise,K51717024I,kpp_appeal.ak_nipt (name-matched)
INST-0408,Enti Rregullator i Ujit,,unknown - not seen in KPP
INST-0409,Enti Shteteror i Farerave dhe Fidaneve,,unknown - not seen in KPP
INST-0410,FK Tomori 1923,,unknown - not seen in KPP
INST-0411,FONDACIONI “DURRAH CITY FOOTBALL ACADEMY”,,unknown - not seen in KPP
INST-0412,Fakulteti i Bujqësisë dhe Mjedisit Tiranë,,unknown - not seen in KPP
INST-0413,Fakulteti i Drejtesise,,unknown - not seen in KPP
INST-0414,Fakulteti i Gjuheve te Huaja,,unknown - not seen in KPP
INST-0415,Fakulteti i Historise dhe Filologjise,,unknown - not seen in KPP
INST-0416,Fakulteti i Mjekesise Tirane,,unknown - not seen in KPP
INST-0417,Fakulteti i Shkencave Mjekesore Teknike Tirane,,unknown - not seen in KPP
INST-0418,Fakulteti i Shkencave Sociale,,unknown - not seen in KPP
INST-0419,Fakulteti i Shkencave te Natyres,,unknown - not seen in KPP
INST-0420,Federata Shqiptare e Atletikes,,unknown - not seen in KPP
INST-0421,Federata Shqiptare e Boksit,,unknown - not seen in KPP
INST-0422,Federata Shqiptare e Qitjes Sportive,,unknown - not seen in KPP
INST-0423,Fondacioni Akademia  e Futbollit Luftetari,,unknown - not seen in KPP
INST-0424,Fondi Shqiptar i Zhvillimit,,unknown - not seen in KPP
INST-0425,Fondi i Sigurimit te Detyrueshem  te Kujdesit Shendetesor Tirane,J71412017P,kpp_appeal.ak_nipt (name-matched)
INST-0426,Galeria Kombetare e Arteve,,unknown - not seen in KPP
INST-0427,Galeria e Artit Tiranë,,unknown - not seen in KPP
INST-0428,Garda e Republikes,K51714008L,kpp_appeal.ak_nipt (name-matched)
INST-0429,Gjykata Administrative e Apelit Tirane,L32311451L,kpp_appeal.ak_nipt (name-matched)
INST-0430,Gjykata Administrative e Shkalles se Pare Tirane,L32311452T,kpp_appeal.ak_nipt (name-matched)
INST-0431,Gjykata Administrative e Shkallës së Parë Lushnje,,unknown - not seen in KPP
INST-0432,Gjykata Kushtetuese,K51714012Q,kpp_appeal.ak_nipt (name-matched)
INST-0433,Gjykata e Apelit Tirane,K22409003F,kpp_appeal.ak_nipt (name-matched)
INST-0434,Gjykata e Larte,K51714010A,kpp_appeal.ak_nipt (name-matched)
INST-0435,Gjykata e Posaçme e Apelit per Korrupsionin dhe Krimin e Organizuar,,unknown - not seen in KPP
INST-0436,Gjykata e Posaçme e Shkalles se Pare per Korrupsionin dhe Krimin e Organizuar,,unknown - not seen in KPP
INST-0437,Gjykata e Rrethit Gjyqesor Berat,,unknown - not seen in KPP
INST-0438,Gjykata e Rrethit Gjyqesor Durres,K51703516A,kpp_appeal.ak_nipt (name-matched)
INST-0439,Gjykata e Rrethit Gjyqesor Elbasan,K52905203P,kpp_appeal.ak_nipt (name-matched)
INST-0440,Gjykata e Rrethit Gjyqesor Fier,,unknown - not seen in KPP
INST-0441,Gjykata e Rrethit Gjyqesor Korce,,unknown - not seen in KPP
INST-0442,Gjykata e Rrethit Gjyqesor Kukes,,unknown - not seen in KPP
INST-0443,Gjykata e Rrethit Gjyqesor Lezhe,,unknown - not seen in KPP
INST-0444,Gjykata e Rrethit Gjyqesor Sarande,,unknown - not seen in KPP
INST-0445,Gjykata e Rrethit Gjyqesor Shkoder,,unknown - not seen in KPP
INST-0446,Gjykata e Rrethit Gjyqesor Tirane,K51714011I,kpp_appeal.ak_nipt (name-matched)
INST-0447,Gjykata e Shkalles se Pare e Juridiksionit te Pergjithshem Gjirokster,,unknown - not seen in KPP
INST-0448,Gjykata e Shkallës së Parë e Juridiksionit të Përgjithshëm Dibër,,unknown - not seen in KPP
INST-0449,Gjykata e Shkallës së Parë e Juridiksionit të Përgjithshëm Vlorë,,unknown - not seen in KPP
INST-0450,Green Belsh Sh.a,,unknown - not seen in KPP
INST-0451,Green Kolonja Sh.A,,unknown - not seen in KPP
INST-0452,HEC LANABREGAS sh.a,L41918001E,kpp_appeal.ak_nipt (name-matched)
INST-0453,Hekurudha Shqiptare sh.a,J61811547D,kpp_appeal.ak_nipt (name-matched)
INST-0454,ILLYRIAN GUARD SH.A,,unknown - not seen in KPP
INST-0455,INSTITUCIONI I EKZEKUTIMIT TE VENDIMEVE PENALE POJSKE,,unknown - not seen in KPP
INST-0456,Identitek Sh.a,M31613043O,kpp_appeal.ak_nipt (name-matched)
INST-0457,Inspektorati Kombetar i Mbrojtjes se Territorit,,unknown - not seen in KPP
INST-0458,Inspektorati Larte Deklarimit dhe Kontrollit Pasurive,K51714015R,kpp_appeal.ak_nipt (name-matched)
INST-0459,Inspektorati Qendror,,unknown - not seen in KPP
INST-0460,Inspektorati Shteteror Shendetesor Diber,,unknown - not seen in KPP
INST-0461,Inspektorati Shteteror Teknik dhe Industrial,K12028001C,kpp_appeal.ak_nipt (name-matched)
INST-0462,Inspektorati Shteteror i Mbikeqyrjes se Tregut,,unknown - not seen in KPP
INST-0463,Inspektorati Shteteror i Punes dhe Sherbimeve Shoqerore Tirane,,unknown - not seen in KPP
INST-0464,"Inspektorati i Mbrojtjes se Territorit, Bashkia Tirane",,unknown - not seen in KPP
INST-0465,Inspektori i Larte i Drejtesise,M01329452K,kpp_appeal.ak_nipt (name-matched)
INST-0466,Institucioni i Ekzekutimit Te Vendimeve Penale Burrel,,unknown - not seen in KPP
INST-0467,Institucioni i Ekzekutimit Te Vendimeve Penale Fushe Kruje,,unknown - not seen in KPP
INST-0468,Institucioni i Ekzekutimit Te Vendimeve Penale Jordan Misja Tirane,,unknown - not seen in KPP
INST-0469,Institucioni i Ekzekutimit Te Vendimeve Penale Korce,,unknown - not seen in KPP
INST-0470,Institucioni i Ekzekutimit Te Vendimeve Penale Lezhe,,unknown - not seen in KPP
INST-0471,Institucioni i Ekzekutimit Te Vendimeve Penale Paraburgimi Mine Peza,,unknown - not seen in KPP
INST-0472,Institucioni i Ekzekutimit Te Vendimeve Penale Paraburgimi Vlore,,unknown - not seen in KPP
INST-0473,Institucioni i Ekzekutimit Te Vendimeve Penale Paraburgimit Durres,,unknown - not seen in KPP
INST-0474,Institucioni i Ekzekutimit Te Vendimeve Penale Rrogozhine,,unknown - not seen in KPP
INST-0475,Institucioni i Ekzekutimit te Vendimeve Penale Berat,,unknown - not seen in KPP
INST-0476,Institucioni i Ekzekutimit te Vendimeve Penale Fier,,unknown - not seen in KPP
INST-0477,Institucioni i Ekzekutimit te Vendimeve Penale Kukes,,unknown - not seen in KPP
INST-0478,Institucioni i Ekzekutimit te Vendimeve Penale Paraburgimi Elbasan,,unknown - not seen in KPP
INST-0479,Institucioni i Ekzekutimit te Vendimeve Penale Shkoder,L87613771O,kpp_appeal.ak_nipt (name-matched)
INST-0480,Institucioni i Presidentit te Republikes,,unknown - not seen in KPP
INST-0481,Instituti Gjeografik Ushtarak,K51726024H,kpp_appeal.ak_nipt (name-matched)
INST-0482,Instituti Kombetar i Regjistrimit te Trashegimise Kulturore,,unknown - not seen in KPP
INST-0483,Instituti Kombetar i Trashegimise Kulturore,,unknown - not seen in KPP
INST-0484,Instituti i  Transportit Tirane,,unknown - not seen in KPP
INST-0485,Instituti i Fizikes Berthamore te Zbatuar,,unknown - not seen in KPP
INST-0486,Instituti i Integrimit te Perndjekurve Politike,,unknown - not seen in KPP
INST-0487,Instituti i Mjekesise Ligjore,K51723009S,kpp_appeal.ak_nipt (name-matched)
INST-0488,Instituti i Ndertimit,J91912001A,kpp_appeal.ak_nipt (name-matched)
INST-0489,Instituti i Nxenesve qe nuk degjojne,,unknown - not seen in KPP
INST-0490,Instituti i Nxenesve qe nuk shikojne,,unknown - not seen in KPP
INST-0491,Instituti i Pergatitjes se Qenve te Policise,,unknown - not seen in KPP
INST-0492,Instituti i Policisë Shkencore,,unknown - not seen in KPP
INST-0493,Instituti i Shendetit Publik Tirane,J61918024T,kpp_appeal.ak_nipt (name-matched)
INST-0494,Instituti i Sigurimeve Shoqerore,,unknown - not seen in KPP
INST-0495,Instituti i Sigurise Ushqimore dhe Veterinarise,,unknown - not seen in KPP
INST-0496,Instituti i Statistikave,J62106002W,kpp_appeal.ak_nipt (name-matched)
INST-0497,Instituti i Studimeve Europiane,,unknown - not seen in KPP
INST-0498,Instituti i Studimeve te Krimeve te Komunizmit,L11618454G,kpp_appeal.ak_nipt (name-matched)
INST-0499,Instituti i te Miturve Kavaje,,unknown - not seen in KPP
INST-0500,KAYO SHA,,unknown - not seen in KPP
INST-0501,Kantieri i Ndertimit dhe Riparimit te Anijeve Reparti Ushtarak Nr.6022,,unknown - not seen in KPP
INST-0502,Keshilli Kombetar i Kontabilitetit,,unknown - not seen in KPP
INST-0503,Keshilli i Larte Gjyqesor,K51717016R,kpp_appeal.ak_nipt (name-matched)
INST-0504,Keshilli i Larte i Prokurorise,L82426451Q,kpp_appeal.ak_nipt (name-matched)
INST-0505,Keshilli i Ministrave,,unknown - not seen in KPP
INST-0506,Keshilli i Qarkut Berat,,unknown - not seen in KPP
INST-0507,Keshilli i Qarkut Diber,K46908702N,kpp_appeal.ak_nipt (name-matched)
INST-0508,Keshilli i Qarkut Durres,K51704519G,kpp_appeal.ak_nipt (name-matched)
INST-0509,Keshilli i Qarkut Elbasan,,unknown - not seen in KPP
INST-0510,Keshilli i Qarkut Fier,K52903416C,kpp_appeal.ak_nipt (name-matched)
INST-0511,Keshilli i Qarkut Gjirokaster,K43128645O,kpp_appeal.ak_nipt (name-matched)
INST-0512,Keshilli i Qarkut Korce,,unknown - not seen in KPP
INST-0513,Keshilli i Qarkut Kukes,,unknown - not seen in KPP
INST-0514,Keshilli i Qarkut Lezhe,K57829502O,kpp_appeal.ak_nipt (name-matched)
INST-0515,Keshilli i Qarkut Shkoder,,unknown - not seen in KPP
INST-0516,Keshilli i Qarkut Tirane,K51714029K,kpp_appeal.ak_nipt (name-matched)
INST-0517,Keshilli i Qarkut Vlore,,unknown - not seen in KPP
INST-0518,Klinika Stomatologjike Universitare Tirane,,unknown - not seen in KPP
INST-0519,Klubi Shumesportesh Apollonia sh.a,,unknown - not seen in KPP
INST-0520,Klubi Shumesportesh Partizani,,unknown - not seen in KPP
INST-0521,Klubi Shumesportesh Skenderbeu Korçe,,unknown - not seen in KPP
INST-0522,Klubi Sportiv Flamurtari,,unknown - not seen in KPP
INST-0523,Klubi i Futbollit Lushnja 1930,,unknown - not seen in KPP
INST-0524,Klubi i Futbollit Teuta,,unknown - not seen in KPP
INST-0525,Klubi i Shumesporteve Teuta,K51704517N,kpp_appeal.ak_nipt (name-matched)
INST-0526,Kolegji i Posaçem i Apelimit,,unknown - not seen in KPP
INST-0527,"Komanda Mbeshtetese, Reparti Ushtarak Nr. 4001",,unknown - not seen in KPP
INST-0528,Komisariati I Policise Sarande,,unknown - not seen in KPP
INST-0529,Komisariati i NSH Tirane,,unknown - not seen in KPP
INST-0530,Komisariati i Policise Kufitare Sarande,,unknown - not seen in KPP
INST-0531,Komisariati i Policise Nderhyrjes Shpejte Fier,,unknown - not seen in KPP
INST-0532,Komisioneri per Mbikqyrjen e Sherbimit Civil,K51724007H,kpp_appeal.ak_nipt (name-matched)
INST-0533,Komisioneri per mbrojtjen nga diskriminimi,,unknown - not seen in KPP
INST-0534,Komisioneri per te Drejten e Informimit dhe Mbrojtjen e te dhenave personale,,unknown - not seen in KPP
INST-0535,Komisioni Qendror i Zgjedhjeve,K51714034A,kpp_appeal.ak_nipt (name-matched)
INST-0536,Komisioni i Prokurimit Publik,,unknown - not seen in KPP
INST-0537,Komiteti Olimpik Kombetar Shqiptar,,unknown - not seen in KPP
INST-0538,Komiteti Shqiptar i Biresimit,,unknown - not seen in KPP
INST-0539,Komiteti Shteteror i Minoriteteve,,unknown - not seen in KPP
INST-0540,Komiteti Shteteror per Kultet,,unknown - not seen in KPP
INST-0541,Kontrolli i Larte i Shtetit,K21908005G,kpp_appeal.ak_nipt (name-matched)
INST-0542,Korporata e Investimeve Shqiptare,,unknown - not seen in KPP
INST-0543,Kuvendi,J62120001P,kpp_appeal.ak_nipt (name-matched)
INST-0544,LEZHA INVEST SH.P.K,,unknown - not seen in KPP
INST-0545,Ministria e Arsimit,,unknown - not seen in KPP
INST-0546,Ministria e Brendshme,,unknown - not seen in KPP
INST-0547,Ministria e Bujqesise dhe Zhvillimit Rural,J62027011I,kpp_appeal.ak_nipt (name-matched)
INST-0548,Ministria e Drejtesise,K31702039B,kpp_appeal.ak_nipt (name-matched)
INST-0549,Ministria e Ekonomisë dhe Inovacionit,,unknown - not seen in KPP
INST-0550,Ministria e Financave,,unknown - not seen in KPP
INST-0551,Ministria e Infrastruktures dhe Energjise,L72413451B,kpp_appeal.ak_nipt (name-matched)
INST-0552,Ministria e Mbrojtjes,K51716025L,kpp_appeal.ak_nipt (name-matched)
INST-0553,Ministria e Mjedisit,,unknown - not seen in KPP
INST-0554,Ministria e Shendetesise dhe Mbrojtjes Sociale,J61908054N,kpp_appeal.ak_nipt (name-matched)
INST-0555,"Ministria e Turizmit,Kulturës dhe Sportit",,unknown - not seen in KPP
INST-0556,Ministria per Evropen dhe Punet e Jashtme,,unknown - not seen in KPP
INST-0557,Muzeu i Artit Mesjetar Korce,,unknown - not seen in KPP
INST-0558,Ndermarja e Pastrimit Fier,K43429402K,kpp_appeal.ak_nipt (name-matched)
INST-0559,Ndermarrja Industriale Nr.1 Tirane,J61827081K,kpp_appeal.ak_nipt (name-matched)
INST-0560,Ndermarrja Komunale Kucove,K48504115D,kpp_appeal.ak_nipt (name-matched)
INST-0561,Ndermarrja Rruga Durres,,unknown - not seen in KPP
INST-0562,Ndermarrja Sherbimeve Komunale Durres,J71610502R,kpp_appeal.ak_nipt (name-matched)
INST-0563,Ndermarrja Sherbimeve Komunale Plazh,J81906505I,kpp_appeal.ak_nipt (name-matched)
INST-0564,Ndermarrja e Gjelberimit Vlore,,unknown - not seen in KPP
INST-0565,Ndermarrja e Gjelberimit dhe Mirembajtjes se Varrezave Publike Bashkia Kamez,,unknown - not seen in KPP
INST-0566,Ndermarrja e Mirembajtjes se Infrastrukturave dhe Puneve Publike Pogradec,,unknown - not seen in KPP
INST-0567,Ndermarrja e Parqeve dhe Rekreacionit,,unknown - not seen in KPP
INST-0568,Ndermarrja e Pastrimit Kamez,,unknown - not seen in KPP
INST-0569,Ndermarrja e Pastrimit Vlorë,,unknown - not seen in KPP
INST-0570,Ndermarrja e Pasurive Publike Lushnje,K63717404A,kpp_appeal.ak_nipt (name-matched)
INST-0571,Ndermarrja e Prodhimit te Celiqeve Elbasan,,unknown - not seen in KPP
INST-0572,"Ndermarrja e Sherbimeve Mbeshtetese te Arsimit dhe Cerdhes, Korce",K54105037N,kpp_appeal.ak_nipt (name-matched)
INST-0573,Ndermarrja e Sherbimeve Publike Corovode,K49312434R,kpp_appeal.ak_nipt (name-matched)
INST-0574,Ndermarrja e Sherbimeve Publike Fier,K52906418K,kpp_appeal.ak_nipt (name-matched)
INST-0575,Ndermarrja e Sherbimeve Publike Himare,M56320331B,kpp_appeal.ak_nipt (name-matched)
INST-0576,Ndermarrja e Sherbimeve Publike Korce,K54105047U,kpp_appeal.ak_nipt (name-matched)
INST-0577,Ndermarrja e Sherbimeve Publike Mallakaster,,unknown - not seen in KPP
INST-0578,Ndermarrja e Sherbimeve Publike Roskovec,,unknown - not seen in KPP
INST-0579,Ndermarrja e Sherbimeve Publike Sarande,L13714993U,kpp_appeal.ak_nipt (name-matched)
INST-0580,Ndermarrja e Sherbimeve Publike Vlore,K56703210N,kpp_appeal.ak_nipt (name-matched)
INST-0581,Ndermarrja e Sherbimeve Publike Vore,,unknown - not seen in KPP
INST-0582,Ndermarrja e Trajtimit te Studenteve Korce,,unknown - not seen in KPP
INST-0583,Ndermarrja e Trajtimit te Studenteve Shkoder,,unknown - not seen in KPP
INST-0584,Ndermarrja e Trajtimit te Studenteve Vlore,,unknown - not seen in KPP
INST-0585,Ndermarrja e Ujitjes dhe Kullimit Fier,,unknown - not seen in KPP
INST-0586,Nderrmarrja e Sherbimeve dhe Puneve Publike,,unknown - not seen in KPP
INST-0587,Ndërmarrja e Dekorit dhe Eventeve Tirane,,unknown - not seen in KPP
INST-0588,Ndërmarrja e Menaxhimit të Mbetjeve Vlorë,,unknown - not seen in KPP
INST-0589,Ndërmarrja e Menaxhimit të Parqeve dhe Gjelbërimit Fier,,unknown - not seen in KPP
INST-0590,Ndërmarrja e Parqeve dhe Rekreacionit Kamëz,,unknown - not seen in KPP
INST-0591,Ndërmarrja e Shërbimeve Publike Kamez,M21326451O,kpp_appeal.ak_nipt (name-matched)
INST-0592,Njesia Periferike HEC Koman,,unknown - not seen in KPP
INST-0593,Njesia Periferike HEC Vau Dejes,,unknown - not seen in KPP
