kodi_institucioni,emertimi
INST-0109,Autoriteti per Informimin mbi Dokumentet e Ish-Sigurimit te Shtetit
INST-0110,Avokati i Popullit
INST-0111,Avokati i Shtetit
INST-0112,BERAT CITY GREEN – BCG SH.A
INST-0113,BURSA SHQIPTARE E ENERGJISË ELEKTRIKE SH.A - ALPEX
INST-0114,Bajkaj Land Sh.a
INST-0115,Banka Shqiptare Zhvillimit
INST-0116,Bashkia Belsh
INST-0117,Bashkia Berat
INST-0118,Bashkia Bulqize
INST-0119,Bashkia Cerrik
INST-0120,Bashkia Delvine
INST-0121,Bashkia Devoll
INST-0122,Bashkia Diber
INST-0123,Bashkia Dimal
INST-0124,Bashkia Divjake
INST-0125,Bashkia Dropull
INST-0126,Bashkia Durres
INST-0127,Bashkia Elbasan
INST-0128,Bashkia Fier
INST-0129,Bashkia Finiq
INST-0130,Bashkia Fushe Arrez
INST-0131,Bashkia Gjirokaster
INST-0132,Bashkia Gramsh
INST-0133,Bashkia Has
INST-0134,Bashkia Himare
INST-0135,Bashkia Kamez
INST-0136,Bashkia Kavaje
INST-0137,Bashkia Kelcyre
INST-0138,Bashkia Klos
INST-0139,Bashkia Kolonje
INST-0140,Bashkia Konispol
INST-0141,Bashkia Korce
INST-0142,Bashkia Kruje
INST-0143,Bashkia Kucove
INST-0144,Bashkia Kukes
INST-0145,Bashkia Kurbin
INST-0146,Bashkia Lezhe
INST-0147,Bashkia Libohove
INST-0148,Bashkia Librazhd
INST-0149,Bashkia Lushnje
INST-0150,Bashkia Malesi e Madhe
INST-0151,Bashkia Maliq
INST-0152,Bashkia Mallakaster
INST-0153,Bashkia Mat
INST-0154,Bashkia Memaliaj
INST-0155,Bashkia Mirdite
INST-0156,Bashkia Patos
INST-0157,Bashkia Peqin
INST-0158,Bashkia Permet
INST-0159,Bashkia Pogradec
INST-0160,Bashkia Polican
INST-0161,Bashkia Prrenjas
INST-0162,Bashkia Puke
INST-0163,Bashkia Pustec
INST-0164,Bashkia Roskovec
INST-0165,Bashkia Rrogozhine
INST-0166,Bashkia Sarande
INST-0167,Bashkia Selenice
INST-0168,Bashkia Shijak
INST-0169,Bashkia Shkoder
INST-0170,Bashkia Skrapar
INST-0171,Bashkia Tepelene
INST-0172,Bashkia Tirane
INST-0173,Bashkia Tropoje
INST-0174,Bashkia Vau Dejes
INST-0175,Bashkia Vlore
INST-0176,Bashkia Vore
INST-0177,Biblioteka Kombetare
INST-0178,Biblioteka Publike Durres
