kodi_institucioni,emertimi
INST-0473,Institucioni i Ekzekutimit Te Vendimeve Penale Paraburgimit Durres
INST-0474,Institucioni i Ekzekutimit Te Vendimeve Penale Rrogozhine
INST-0475,Institucioni i Ekzekutimit te Vendimeve Penale Berat
INST-0476,Institucioni i Ekzekutimit te Vendimeve Penale Fier
INST-0477,Institucioni i Ekzekutimit te Vendimeve Penale Kukes
INST-0478,Institucioni i Ekzekutimit te Vendimeve Penale Paraburgimi Elbasan
INST-0479,Institucioni i Ekzekutimit te Vendimeve Penale Shkoder
INST-0480,Institucioni i Presidentit te Republikes
INST-0481,Instituti Gjeografik Ushtarak
INST-0482,Instituti Kombetar i Regjistrimit te Trashegimise Kulturore
INST-0483,Instituti Kombetar i Trashegimise Kulturore
INST-0484,Instituti i  Transportit Tirane
INST-0485,Instituti i Fizikes Berthamore te Zbatuar
INST-0486,Instituti i Integrimit te Perndjekurve Politike
INST-0487,Instituti i Mjekesise Ligjore
INST-0488,Instituti i Ndertimit
INST-0489,Instituti i Nxenesve qe nuk degjojne
INST-0490,Instituti i Nxenesve qe nuk shikojne
INST-0491,Instituti i Pergatitjes se Qenve te Policise
INST-0492,Instituti i Policisë Shkencore
INST-0493,Instituti i Shendetit Publik Tirane
INST-0494,Instituti i Sigurimeve Shoqerore
INST-0495,Instituti i Sigurise Ushqimore dhe Veterinarise
INST-0496,Instituti i Statistikave
INST-0497,Instituti i Studimeve Europiane
INST-0498,Instituti i Studimeve te Krimeve te Komunizmit
INST-0499,Instituti i te Miturve Kavaje
INST-0500,KAYO SHA
INST-0501,Kantieri i Ndertimit dhe Riparimit te Anijeve Reparti Ushtarak Nr.6022
INST-0502,Keshilli Kombetar i Kontabilitetit
INST-0503,Keshilli i Larte Gjyqesor
INST-0504,Keshilli i Larte i Prokurorise
INST-0505,Keshilli i Ministrave
INST-0506,Keshilli i Qarkut Berat
INST-0507,Keshilli i Qarkut Diber
INST-0508,Keshilli i Qarkut Durres
INST-0509,Keshilli i Qarkut Elbasan
INST-0510,Keshilli i Qarkut Fier
INST-0511,Keshilli i Qarkut Gjirokaster
INST-0512,Keshilli i Qarkut Korce
INST-0513,Keshilli i Qarkut Kukes
INST-0514,Keshilli i Qarkut Lezhe
INST-0515,Keshilli i Qarkut Shkoder
INST-0516,Keshilli i Qarkut Tirane
INST-0517,Keshilli i Qarkut Vlore
INST-0518,Klinika Stomatologjike Universitare Tirane
INST-0519,Klubi Shumesportesh Apollonia sh.a
INST-0520,Klubi Shumesportesh Partizani
INST-0521,Klubi Shumesportesh Skenderbeu Korçe
INST-0522,Klubi Sportiv Flamurtari
INST-0523,Klubi i Futbollit Lushnja 1930
INST-0524,Klubi i Futbollit Teuta
INST-0525,Klubi i Shumesporteve Teuta
INST-0526,Kolegji i Posaçem i Apelimit
INST-0527,"Komanda Mbeshtetese, Reparti Ushtarak Nr. 4001"
INST-0528,Komisariati I Policise Sarande
INST-0529,Komisariati i NSH Tirane
INST-0530,Komisariati i Policise Kufitare Sarande
INST-0531,Komisariati i Policise Nderhyrjes Shpejte Fier
INST-0532,Komisioneri per Mbikqyrjen e Sherbimit Civil
INST-0533,Komisioneri per mbrojtjen nga diskriminimi
INST-0534,Komisioneri per te Drejten e Informimit dhe Mbrojtjen e te dhenave personale
INST-0535,Komisioni Qendror i Zgjedhjeve
INST-0536,Komisioni i Prokurimit Publik
INST-0537,Komiteti Olimpik Kombetar Shqiptar
INST-0538,Komiteti Shqiptar i Biresimit
INST-0539,Komiteti Shteteror i Minoriteteve
INST-0540,Komiteti Shteteror per Kultet
INST-0541,Kontrolli i Larte i Shtetit
INST-0542,Korporata e Investimeve Shqiptare
INST-0543,Kuvendi
INST-0544,LEZHA INVEST SH.P.K
INST-0545,Ministria e Arsimit
INST-0546,Ministria e Brendshme
INST-0547,Ministria e Bujqesise dhe Zhvillimit Rural
INST-0548,Ministria e Drejtesise
INST-0549,Ministria e Ekonomisë dhe Inovacionit
INST-0550,Ministria e Financave
INST-0551,Ministria e Infrastruktures dhe Energjise
INST-0552,Ministria e Mbrojtjes
INST-0553,Ministria e Mjedisit
INST-0554,Ministria e Shendetesise dhe Mbrojtjes Sociale
INST-0555,"Ministria e Turizmit,Kulturës dhe Sportit"
INST-0556,Ministria per Evropen dhe Punet e Jashtme
INST-0557,Muzeu i Artit Mesjetar Korce
INST-0558,Ndermarja e Pastrimit Fier
INST-0559,Ndermarrja Industriale Nr.1 Tirane
INST-0560,Ndermarrja Komunale Kucove
INST-0561,Ndermarrja Rruga Durres
INST-0562,Ndermarrja Sherbimeve Komunale Durres
INST-0563,Ndermarrja Sherbimeve Komunale Plazh
INST-0564,Ndermarrja e Gjelberimit Vlore
INST-0565,Ndermarrja e Gjelberimit dhe Mirembajtjes se Varrezave Publike Bashkia Kamez
INST-0566,Ndermarrja e Mirembajtjes se Infrastrukturave dhe Puneve Publike Pogradec
INST-0567,Ndermarrja e Parqeve dhe Rekreacionit
INST-0568,Ndermarrja e Pastrimit Kamez
INST-0569,Ndermarrja e Pastrimit Vlorë
INST-0570,Ndermarrja e Pasurive Publike Lushnje
INST-0571,Ndermarrja e Prodhimit te Celiqeve Elbasan
INST-0572,"Ndermarrja e Sherbimeve Mbeshtetese te Arsimit dhe Cerdhes, Korce"
INST-0573,Ndermarrja e Sherbimeve Publike Corovode
INST-0574,Ndermarrja e Sherbimeve Publike Fier
INST-0575,Ndermarrja e Sherbimeve Publike Himare
INST-0576,Ndermarrja e Sherbimeve Publike Korce
INST-0577,Ndermarrja e Sherbimeve Publike Mallakaster
INST-0578,Ndermarrja e Sherbimeve Publike Roskovec
INST-0579,Ndermarrja e Sherbimeve Publike Sarande
INST-0580,Ndermarrja e Sherbimeve Publike Vlore
INST-0581,Ndermarrja e Sherbimeve Publike Vore
INST-0582,Ndermarrja e Trajtimit te Studenteve Korce
INST-0583,Ndermarrja e Trajtimit te Studenteve Shkoder
INST-0584,Ndermarrja e Trajtimit te Studenteve Vlore
INST-0585,Ndermarrja e Ujitjes dhe Kullimit Fier
INST-0586,Nderrmarrja e Sherbimeve dhe Puneve Publike
INST-0587,Ndërmarrja e Dekorit dhe Eventeve Tirane
INST-0588,Ndërmarrja e Menaxhimit të Mbetjeve Vlorë
INST-0589,Ndërmarrja e Menaxhimit të Parqeve dhe Gjelbërimit Fier
INST-0590,Ndërmarrja e Parqeve dhe Rekreacionit Kamëz
INST-0591,Ndërmarrja e Shërbimeve Publike Kamez
INST-0592,Njesia Periferike HEC Koman
INST-0593,Njesia Periferike HEC Vau Dejes
INST-0594,Njesia Vendore e Kujdesit Shendetesor Devoll
INST-0595,Njesia Vendore e Kujdesit Shendetesor Durres
INST-0596,Njesia Vendore e Kujdesit Shendetesor Elbasan
INST-0597,Njesia Vendore e Kujdesit Shendetesor Fier
INST-0598,Njesia Vendore e Kujdesit Shendetesor Gramsh
INST-0599,Njesia Vendore e Kujdesit Shendetesor Kavaje
INST-0600,Njesia Vendore e Kujdesit Shendetesor Korce
INST-0601,Njesia Vendore e Kujdesit Shendetesor Kurbin
INST-0602,Njesia Vendore e Kujdesit Shendetesor Kuçove
INST-0603,Njesia Vendore e Kujdesit Shendetesor Lezhe
INST-0604,Njesia Vendore e Kujdesit Shendetesor Lushnje
INST-0605,Njesia Vendore e Kujdesit Shendetesor Malesi e Madhe
INST-0606,Njesia Vendore e Kujdesit Shendetesor Permet
INST-0607,Njesia Vendore e Kujdesit Shendetesor Shkoder
INST-0608,Njesia Vendore e Kujdesit Shendetesor Tepelene
INST-0609,Njesia Vendore e Kujdesit Shendetesor Tirane
INST-0610,Njesia Vendore e Kujdesit Shendetesor Tropoje
INST-0611,Njesia e Prodhimit HEC Fierze
INST-0612,Njësia Vendore e Kujdesit Shëndetësor Berat
INST-0613,OST Njesia Operative Burrel
INST-0614,OST Njesia Operative Elbasan
INST-0615,OST Njesia Operative Fier
INST-0616,OST Njesia Operative Korce
INST-0617,OST Njesia Operative Shkoder
INST-0618,OST Njesia Operative Tirane
INST-0619,OST Njesia e Mirembajtjes se Transmetimit
INST-0620,Opera Divina Prov. Madonnina D. Grappa
INST-0621,Operatori i Blerjeve te Perqendruara
INST-0622,Operatori i Sherbimeve te Kujdesit Shendetesor
INST-0623,Operatori i Shperndarjes se Energjise Elektrike Group sh.a
INST-0624,Operatori i Shërbimeve të Integruara Shëndetësore Sh.A
INST-0625,Operatori i Shërbimeve të Integruara të Sterilizimit Sh.A
INST-0626,Operatori i Sistemit te Transmetimit OST
INST-0627,Prefekti i Qarkut Berat
INST-0628,Prefekti i Qarkut Diber
INST-0629,Prefekti i Qarkut Fier
INST-0630,Prefekti i Qarkut Gjirokaster
INST-0631,Prefekti i Qarkut Korce
INST-0632,Prefekti i Qarkut Kukes
INST-0633,Prefekti i Qarkut Shkoder
INST-0634,Prefekti i Qarkut Vlore
INST-0635,Prokuroria e Apelit Tirane
INST-0636,Prokuroria e Posaçme Kunder Korrupsionit dhe Krimit te Organizuar
INST-0637,Prokuroria e Rrethit Gjyqesor Diber
INST-0638,Prokuroria e Rrethit Gjyqesor Durres
INST-0639,Prokuroria e Rrethit Gjyqesor Elbasan
INST-0640,Prokuroria e Rrethit Gjyqesor Fier
INST-0641,Prokuroria e Rrethit Gjyqesor Gjirokaster
INST-0642,Prokuroria e Rrethit Gjyqesor Korce
INST-0643,Prokuroria e Rrethit Gjyqesor Sarande
INST-0644,Prokuroria e Rrethit Gjyqesor Shkoder
INST-0645,Prokuroria e Rrethit Gjyqesor Tirane
INST-0646,Prokuroria e Rrethit Gjyqesor Vlore
INST-0647,Qendra Arsimore Pogradec
INST-0648,Qendra Balneare Peshkopi
INST-0649,Qendra Ditore Polivalente Kamez
INST-0650,Qendra Ditore Polivalente Sarande
INST-0651,Qendra Ditore e te Moshuarve Durres
INST-0652,Qendra Ekonomike e Arsimit Bashkia Berat
INST-0653,Qendra Ekonomike e Arsimit Bashkia Durres
INST-0654,Qendra Ekonomike e Arsimit Bashkia Fier
INST-0655,Qendra Ekonomike e Arsimit Bashkia Kucove
INST-0656,Qendra Kombetare Pritese e Viktimave te Trafikimit
INST-0657,Qendra Kombetare Teknike Bio-Mjekesore
INST-0658,Qendra Kombetare e Biznesit
INST-0659,Qendra Kombetare e Kinematografise
INST-0660,Qendra Kombetare e Kultures per Femije
INST-0661,Qendra Kombetare e Trajtimit te Viktimave te Dhunes ne Familje
INST-0662,Qendra Kombetare e Transfuzionit te Gjakut Tirane
INST-0663,Qendra Kombetare e Urgjences Mjekesore
INST-0664,Qendra Kombetare e Veprimtarive Folklorike
INST-0665,Qendra Komunitare Multidisiplinare Tirane
INST-0666,Qendra Komunitare Shkoze Tirane
INST-0667,Qendra Komunitare Sociale Streheza
INST-0668,Qendra Komunitare Te Qendrojme se Bashku
INST-0669,Qendra Komunitare e Terrenit
INST-0670,Qendra Komunitare për Personat me Aftësi të Kufizuar Tiranë
INST-0671,Qendra Kulturore Durres
INST-0672,Qendra Kulturore Margarita Tutulani Berat
INST-0673,Qendra Kulturore Tirana
INST-0674,Qendra Kulturore Vlore
INST-0675,Qendra Kulturore dhe Klubi Sportiv Lushnje
INST-0676,Qendra Kulturore e Femijeve Durres
INST-0677,Qendra Multifunksionale Pogradec Sh.a
INST-0678,"Qendra Muzeore Berat-Muzeu i Ikonografise “ONUFRI”, Muzeu Etnografik Berat"
INST-0679,Qendra Muzeore Durres
INST-0680,Qendra Nderinstitucionale Operacionale Detare
INST-0681,Qendra Nderinstitucionale e Rrjetit Akademik Shqiptar
INST-0682,Qendra Polivalente per Sherbime te Perkujdesit Shoqeror Polican
INST-0683,Qendra Rajonale e Inovacionit te Insitutit Evropian te Teknologjise dhe Inovacionit per Lendet ePara
INST-0684,Qendra Rinore Ten
INST-0685,Qendra Shendetesore  Vertop Berat
INST-0686,Qendra Shendetesore Ana e Malit
INST-0687,Qendra Shendetesore Balldre
INST-0688,Qendra Shendetesore Bathore
INST-0689,Qendra Shendetesore Belsh
INST-0690,Qendra Shendetesore Berdice Shkoder
INST-0691,Qendra Shendetesore Berxulle Tirane
INST-0692,Qendra Shendetesore Bicaj Kukes
INST-0693,Qendra Shendetesore Bradashesh Elbasan
INST-0694,Qendra Shendetesore Brataj
INST-0695,Qendra Shendetesore Bregu i Lumit
INST-0696,Qendra Shendetesore Bubullime Lushnje
INST-0697,Qendra Shendetesore Bucimas
INST-0698,Qendra Shendetesore Bulgarec Qender Korce
INST-0699,Qendra Shendetesore Cakran
INST-0700,Qendra Shendetesore Cerrave
INST-0701,Qendra Shendetesore Cerrik
INST-0702,Qendra Shendetesore Dajc Shkoder
INST-0703,Qendra Shendetesore Dardhas
INST-0704,Qendra Shendetesore Divjak Lushnje
INST-0705,Qendra Shendetesore Dushk
INST-0706,Qendra Shendetesore Fajza-Gjinaj  Has
INST-0707,Qendra Shendetesore Fan
INST-0708,Qendra Shendetesore Fier
INST-0709,Qendra Shendetesore Fierze Belesh Elbasan
INST-0710,Qendra Shendetesore Frakull Fier
INST-0711,Qendra Shendetesore Fratar Mallakaster
INST-0712,Qendra Shendetesore Fushe Arrez
INST-0713,Qendra Shendetesore Fushe Bulqize
INST-0714,Qendra Shendetesore Fushe Cidhen
INST-0715,Qendra Shendetesore Fushe Kruje
INST-0716,Qendra Shendetesore Gjocaj
INST-0717,Qendra Shendetesore Golaj
INST-0718,Qendra Shendetesore Golem Kavaje
INST-0719,Qendra Shendetesore Gose Kavaje
INST-0720,Qendra Shendetesore Gostime
INST-0721,Qendra Shendetesore Gracen Elbasan
INST-0722,Qendra Shendetesore Gradisht
INST-0723,Qendra Shendetesore Himare
INST-0724,Qendra Shendetesore Hotolisht Librazhd
INST-0725,Qendra Shendetesore Iballe
INST-0726,Qendra Shendetesore Kallmet Lezhe
INST-0727,Qendra Shendetesore Kamez
INST-0728,Qendra Shendetesore Kastrat Malesi e Madhe
INST-0729,Qendra Shendetesore Katund i Ri Durres
INST-0730,Qendra Shendetesore Kavaje
INST-0731,Qendra Shendetesore Kelcyre
INST-0732,Qendra Shendetesore Kelmend
INST-0733,Qendra Shendetesore Kenete Durres
INST-0734,Qendra Shendetesore Klos Mat
INST-0735,Qendra Shendetesore Koder Kamez Tirane
INST-0736,Qendra Shendetesore Kodovjat
INST-0737,Qendra Shendetesore Kolonje Lushnje
INST-0738,Qendra Shendetesore Komsi Mat
INST-0739,Qendra Shendetesore Konispol Sarande
INST-0740,Qendra Shendetesore Kozare
INST-0741,Qendra Shendetesore Kruje
INST-0742,Qendra Shendetesore Krume
INST-0743,Qendra Shendetesore Kryevidh Kavaje
INST-0744,Qendra Shendetesore Ksmail Sarande
INST-0745,Qendra Shendetesore Kthelle Mirdite
INST-0746,Qendra Shendetesore Kucove
INST-0747,Qendra Shendetesore Kukes
INST-0748,Qendra Shendetesore Labinot Mal Elbasan
INST-0749,Qendra Shendetesore Lekaj
INST-0750,Qendra Shendetesore Libofshe Fier
INST-0751,Qendra Shendetesore Libohove
INST-0752,Qendra Shendetesore Llugaj Tropoje
INST-0753,Qendra Shendetesore Lumas Berat
INST-0754,Qendra Shendetesore Luz i Vogel
INST-0755,Qendra Shendetesore Maliq
INST-0756,Qendra Shendetesore Maminas Durres
INST-0757,Qendra Shendetesore Mamurras
INST-0758,Qendra Shendetesore Manez Durres
INST-0759,Qendra Shendetesore Maqellare Diber
INST-0760,Qendra Shendetesore Mollas Elbasan
INST-0761,Qendra Shendetesore Narte Vlore
INST-0762,Qendra Shendetesore Ndroq
INST-0763,Qendra Shendetesore Nikel Kruje
INST-0764,Qendra Shendetesore Nr.1 Berat
INST-0765,Qendra Shendetesore Nr.1 Durres
INST-0766,Qendra Shendetesore Nr.1 Lushnje
INST-0767,Qendra Shendetesore Nr.1 Shkoder
INST-0768,Qendra Shendetesore Nr.10 Tirane
INST-0769,Qendra Shendetesore Nr.2 Berat
INST-0770,Qendra Shendetesore Nr.2 Lushnje
INST-0771,Qendra Shendetesore Nr.2 Shkoder
INST-0772,Qendra Shendetesore Nr.2 Vlore
INST-0773,Qendra Shendetesore Nr.3 Durres
INST-0774,Qendra Shendetesore Nr.3 Elbasan
INST-0775,Qendra Shendetesore Nr.3 Tirane
INST-0776,Qendra Shendetesore Nr.4  Elbasan
INST-0777,Qendra Shendetesore Nr.4  Tirane
INST-0778,Qendra Shendetesore Nr.4 Durres
INST-0779,Qendra Shendetesore Nr.4 Shkoder
INST-0780,Qendra Shendetesore Nr.5 Tirane
INST-0781,Qendra Shendetesore Nr.6 Tirane
INST-0782,Qendra Shendetesore Nr.7 Durres
INST-0783,Qendra Shendetesore Nr.7 Tirane
INST-0784,Qendra Shendetesore Nr.8 Tirane
INST-0785,Qendra Shendetesore Nr.9 Tirane
INST-0786,Qendra Shendetesore Orosh
INST-0787,Qendra Shendetesore Paper
INST-0788,Qendra Shendetesore Paskuqan
INST-0789,Qendra Shendetesore Pellumb Dollani Polican
INST-0790,Qendra Shendetesore Perondi
INST-0791,Qendra Shendetesore Peshkopi
INST-0792,Qendra Shendetesore Petrele
INST-0793,Qendra Shendetesore Peze Tirane
INST-0794,Qendra Shendetesore Pogon-Zagori
INST-0795,Qendra Shendetesore Pogradec
INST-0796,Qendra Shendetesore Pojan
INST-0797,Qendra Shendetesore Poshnje Berat
INST-0798,Qendra Shendetesore Proptisht
INST-0799,Qendra Shendetesore Pult
INST-0800,Qendra Shendetesore Qender Potom Leshnje
INST-0801,Qendra Shendetesore Qytet Studenti Tirane
INST-0802,Qendra Shendetesore Rajoni Nr.1 Korçe
INST-0803,Qendra Shendetesore Rajoni Nr.3 Korçe
INST-0804,Qendra Shendetesore Roshnik Berat
INST-0805,Qendra Shendetesore Roskovec
INST-0806,Qendra Shendetesore Rrashbull Durres
INST-0807,Qendra Shendetesore Rreshen
INST-0808,Qendra Shendetesore Rrethine Shkoder
INST-0809,Qendra Shendetesore Rrogozhine
INST-0810,Qendra Shendetesore Rubik Mirdite
INST-0811,Qendra Shendetesore Sarande
INST-0812,Qendra Shendetesore Selenice
INST-0813,Qendra Shendetesore Selite Tirane
INST-0814,Qendra Shendetesore Shale Shkoder
INST-0815,Qendra Shendetesore Sheze
INST-0816,Qendra Shendetesore Shijak Durres
INST-0817,Qendra Shendetesore Shirgjan Elbasan
INST-0818,Qendra Shendetesore Shishtavec
INST-0819,Qendra Shendetesore Shkoze Tirane
INST-0820,Qendra Shendetesore Shllak-Temal
INST-0821,Qendra Shendetesore Shtiqen
INST-0822,Qendra Shendetesore Shushice Elbasan
INST-0823,Qendra Shendetesore Shushice Vlore
INST-0824,Qendra Shendetesore Stravaj Librazhd
INST-0825,Qendra Shendetesore Suc Mat
INST-0826,Qendra Shendetesore Sukth Durres
INST-0827,Qendra Shendetesore Thoma Rrudha Patos
INST-0828,Qendra Shendetesore Thumane Kruje
INST-0829,Qendra Shendetesore Tomin Diber
INST-0830,Qendra Shendetesore Trebinje Pogradec
INST-0831,Qendra Shendetesore Tropoje
INST-0832,Qendra Shendetesore Ura Vajgurore Berat
INST-0833,Qendra Shendetesore Vau Dejes Shkoder
INST-0834,Qendra Shendetesore Velabisht Berat
INST-0835,Qendra Shendetesore Velcan Pogradec
INST-0836,Qendra Shendetesore Velipoje
INST-0837,Qendra Shendetesore Vllahine
INST-0838,Qendra Shendetesore Vore Tirane
INST-0839,Qendra Shendetesore Vranisht
INST-0840,Qendra Shendetesore Vreshtas Korce
INST-0841,Qendra Shendetesore Xhafzotaj
INST-0842,Qendra Shendetesore Zerqan
INST-0843,Qendra Shendetesore e Specialiteteve Nr. 3 Tirane
INST-0844,Qendra Shendetesore e Specialiteteve Nr.1
INST-0845,Qendra Shendetesore e Specialiteteve Nr.2
INST-0846,Qendra Sociale Gonxhe Bojaxhi
INST-0847,Qendra Socio-Shendetesore Kashar
INST-0848,Qendra Socio-Shendetesore Nr.1 Tirane
INST-0849,Qendra Socio-Shendetesore Nr.2 Durres
INST-0850,Qendra Socio-Shendetesore Nr.2 Tirane
INST-0851,Qendra Spitalore Rajonale Berat
INST-0852,Qendra Spitalore Rajonale e Tiranes Shefqet Ndroqi
INST-0853,Qendra Spitalore Universitare Nene Tereza Tirane
INST-0854,Qendra Spitalore e Burgjeve Tirane
INST-0855,Qendra Sportive Tirane
INST-0856,Qendra e Arsimit Lushnje
INST-0857,Qendra e Artit dhe e Kultures Korce
INST-0858,Qendra e Botimeve Zyrtare
INST-0859,Qendra e Botimeve per Diasporen
INST-0860,Qendra e Formimit Profesional Publik Elbasan
INST-0861,Qendra e Formimit Profesional Publik Fier
INST-0862,Qendra e Formimit Profesional Publik Korce
INST-0863,Qendra e Formimit Profesional Publik Shkoder
INST-0864,Qendra e Formimit Profesional Publik Vlore
INST-0865,Qendra e Furnizimit Materialo Teknik Mullet
INST-0866,Qendra e Inovacionit te Sigurise dhe Mbrojtjes
INST-0867,Qendra e Koordinimit Kundër Ekstremizmit të Dhunshëm
INST-0868,Qendra e Parandalimit të Krimeve të të Miturve dhe të Rinjve
INST-0869,Qendra e Pritjes per Azil Tirane
INST-0870,"Qendra e Restaurimit dhe Realizimit te Veprave te Artit, Tirana"
INST-0871,Qendra e Riparimit dhe Mirembatjes se Teknikes se FA
INST-0872,Qendra e Sherbimeve Arsimore
INST-0873,Qendra e Sherbimit  dhe Administrimit te Mjeteve te Transportit te Policise se Shtetit
INST-0874,Qendra e Specialiteteve Paskuqan Tirane
INST-0875,Qendra e Studimeve dhe Publikimeve per Arbereshet
INST-0876,Qendra e Transferimit Te Teknologjive Bujqesore Fushe Kruje
INST-0877,Qendra e Transferimit Te Teknologjive Bujqesore Korce
INST-0878,Qendra e Transferimit Te Teknologjive Bujqesore Lushnje
INST-0879,Qendra e Transferimit Te Teknologjive Bujqesore Shkoder
INST-0880,Qendra e Zhvillimit  Rezidencial Durres
INST-0881,Qendra e Zhvillimit Ditor Korce
INST-0882,Qendra e Zhvillimit Ditor Trendafilat
INST-0883,Qendra e Zhvillimit Edukimit Integrimit Lira
INST-0884,Qendra e Zhvillimit Pellumbat Tirane
INST-0885,Qendra e Zhvillimit Rezidencial Korce
INST-0886,Qendra e Zhvillimit Rezidencial Une jam si Ju Berat
INST-0887,Qendra e Zhvillimit Shkoder
INST-0888,Qendra e Zhvillimit te Personave me Aftesi te Kufizuar Vlore
INST-0889,Qendra “Klubi Sportiv Tirana”
INST-0890,REPARTI USHTARAK NR.4040
INST-0891,Regjistri Detar Shqiptar sh.a
INST-0892,Reparti I Policise RENEA Tirane
INST-0893,Reparti I Sigurimit Brendshem dhe Ceremonial Tirane
INST-0894,Reparti Ushtarak 4002
INST-0895,Reparti Ushtarak Nr. 1020
INST-0896,Reparti Ushtarak Nr. 2030
INST-0897,Reparti Ushtarak Nr. 6604
INST-0898,Reparti Ushtarak Nr.1001 Komanda e Forces Tokesore Tirane
INST-0899,Reparti Ushtarak Nr.1010
INST-0900,Reparti Ushtarak Nr.1060
INST-0901,Reparti Ushtarak Nr.2001 Komanda e Forcave Detare Durres
INST-0902,Reparti Ushtarak Nr.3001 Komanda e Forcave Ajrore Tirane
INST-0903,Reparti Ushtarak Nr.4007
INST-0904,Reparti Ushtarak Nr.4030
INST-0905,Reparti Ushtarak Nr.5001 Komanda e Doktrines dhe Stervitjes Tirane
INST-0906,Reparti Ushtarak Nr.5005
INST-0907,Reparti Ushtarak Nr.6630 Tirane
INST-0908,Reparti Ushtarak Nr.6640 Agjencia e Sistemeve te Nderlidhjes dhe Informacionit(Ish 4402)
INST-0909,"Reparti Ushtarak Nr.6660 Qendra e Kultures, Medias dhe Botimeve te Mbrojtjes"
INST-0910,Reparti Ushtarak Nr.6670 Qendra e Personel Rekrutimit Tirane
INST-0911,Reparti Ushtarak Nr.6680
INST-0912,Rezidenca Studentore Universitare Nr. 2
INST-0913,Rezidenca Studentore Universitare Nr.1
INST-0914,SH.A Administrimi i Mbetjeve Qarkut Korce
INST-0915,SH.A Ujesjelles Kanalizime Tirane
INST-0916,SHISH Sherbimi Informativ i Shtetit
INST-0917,SHKOLLA PROFESIONALE ELBASAN
INST-0918,SKODRINON SH.A
INST-0919,SPITALI RAJONAL ELBASAN
INST-0920,Sh.A Albpetrol
INST-0921,Sh.A Korporata Elektroenergjitike Shqiptare Tirane
INST-0922,Sh.A Porti Detar Sarande
INST-0923,Sh.A Porti Detar Shengjin
INST-0924,Sh.A Porti Detar Vlore
INST-0925,Sh.A Posta Shqiptare
INST-0926,Sh.A Posta Shqiptare Filiali Hibrid Mail
INST-0927,Sh.A Posta Shqiptare Filiali Tirane
INST-0928,Sh.A Ujesjelles Kanalizime Vore
INST-0929,Sherbimi Gjeologjik Shqiptar
INST-0930,Sherbimi Informativ i Shtetit Drejtoria Vlore
INST-0931,Sherbimi Social Shteteror
INST-0932,Sherbimi i Proves
INST-0933,Shkolla Koreografike Tiranë
INST-0934,Shkolla Luigj Gurakuqi Tirane
INST-0935,Shkolla Mekanike Bujqesore “Hasan D Gina” Lushnje
INST-0936,Shkolla Profesionale Sherbime Korce
INST-0937,Shkolla Profesionale Teknike Korce
INST-0938,Shkolla Profesionale “Shën Jozefi Punëtor” Rrëshen
INST-0939,Shkolla Teknike Ekonomike Tirane
INST-0940,Shkolla e Magjistratures
INST-0941,Shkolla e Mesme Hoteleri Turizem Tirane
INST-0942,Shkolla e Mesme Kristo Isak Berat
INST-0943,Shkolla e Mesme Mihal Shahini Cerrik
INST-0944,Shkolla e Mesme Profesionale Antoni Athanas Sarande
INST-0945,Shkolla e Mesme Profesionale Beqir Cela Durres
INST-0946,Shkolla e Mesme Profesionale Charles Telford Erikson Kavaje
INST-0947,Shkolla e Mesme Profesionale Kamez
INST-0948,Shkolla e Mesme Profesionale Kolin Gjoka
INST-0949,Shkolla e Mesme Profesionale Nazmi Rushiti Peshkopi
INST-0950,Shkolla e Mesme Profesionale Ndre Mjeda Bushat
INST-0951,Shkolla e Mesme Profesionale Petro Sota Fier
INST-0952,Shkolla e Mesme Profesionale Stiliano Bandilli Berat
INST-0953,Shkolla e Mesme Profesionale Thoma Papapano Gjirokaster
INST-0954,Shkolla e Mesme Profesionale e Teknologjise Hamdi Bushati Shkoder
INST-0955,Shkolla e Mesme Teknologjike Hysen Çela Durres
INST-0956,Shkolla e Mesme e Ndertimit Karl Gega Tirane
INST-0957,Shoqeria Rajonale Ujesjelles Kanalizime Vlore Sh.A
INST-0958,Shoqeria Rajonale Ujesjelles-Kanalizime Qarku Shkoder SH.A
INST-0959,Shoqëria Rajonale Ujësjellës Kanalizime Berat SH.A
INST-0960,Shoqëria Rajonale Ujësjellës Kanalizime Dibër SH.A
INST-0961,Shoqëria Rajonale Ujësjellës Kanalizime Durrës Sh.A
INST-0962,Shoqëria Rajonale Ujësjellës Kanalizime Elbasan SH.A
INST-0963,Shoqëria Rajonale Ujësjellës Kanalizime Fier SH.A
INST-0964,Shoqëria Rajonale Ujësjellës Kanalizime Gjirokastër SH.A
INST-0965,Shoqëria Rajonale Ujësjellës Kanalizime Korçë SH.A
INST-0966,Shoqëria Rajonale Ujësjellës Kanalizime Kukës SH.A
INST-0967,Shoqëria Rajonale Ujësjellës Kanalizime Lezhë SH.A
INST-0968,Shoqëria Rajonale Ujësjellës Kanalizime Lushnje SH.A
INST-0969,Shoqëria Rajonale Ujësjellës Kanalizime Pogradec Sh.A
INST-0970,Shoqëria Rajonale Ujësjellës Kanalizime Sarandë SH.A
INST-0971,Shtepia Qendrore e Forcave te Armatosura
INST-0972,Shtepia e Femijes per Grupmoshen 16-18 vjeç Shkoder
INST-0973,Shtepia e Femijeve 6 - 14 vjec Shkoder
INST-0974,Shtepia e Femijeve Shkollore Tirane
INST-0975,Shtepia e Foshnjes 0 - 6 vjec Vlore
INST-0976,Shtepia e Foshnjes Durres
